,din_instante,val_geracao,Estacao
289,2018-10-17,830.144,Primavera
290,2018-10-18,851.082,Primavera
291,2018-10-19,711.836,Primavera
292,2018-10-20,838.7284999999999,Primavera
293,2018-10-21,965.621,Primavera
294,2018-10-22,955.224,Primavera
295,2018-10-23,879.437,Primavera
296,2018-10-24,466.72,Primavera
297,2018-10-25,421.3595,Primavera
298,2018-10-26,375.99899999999997,Primavera
299,2018-10-27,552.183,Primavera
300,2018-10-28,922.695,Primavera
301,2018-10-29,862.691,Primavera
302,2018-10-30,882.893,Primavera
303,2018-10-31,740.562,Primavera
304,2018-11-01,720.792,Primavera
305,2018-11-02,837.864,Primavera
306,2018-11-03,878.5459999999999,Primavera
307,2018-11-04,455.99,Primavera
308,2018-11-05,792.029,Primavera
309,2018-11-06,810.087,Primavera
310,2018-11-07,552.542,Primavera
311,2018-11-08,386.451,Primavera
312,2018-11-09,544.722,Primavera
313,2018-11-10,503.857,Primavera
314,2018-11-11,677.087,Primavera
315,2018-11-12,872.639,Primavera
316,2018-11-13,882.101,Primavera
317,2018-11-14,801.763,Primavera
318,2018-11-15,821.91,Primavera
319,2018-11-16,871.774,Primavera
320,2018-11-17,607.033,Primavera
321,2018-11-18,520.933,Primavera
322,2018-11-19,557.2795,Primavera
323,2018-11-20,593.626,Primavera
324,2018-11-21,822.513,Primavera
325,2018-11-22,592.042,Primavera
326,2018-11-23,490.3995,Primavera
327,2018-11-24,388.757,Primavera
328,2018-11-25,702.693,Primavera
329,2018-11-26,828.703,Primavera
330,2018-11-27,887.343,Primavera
331,2018-11-28,904.507,Primavera
332,2018-11-29,662.774,Primavera
333,2018-11-30,530.166,Primavera
334,2018-12-01,459.488,Primavera
335,2018-12-02,549.748,Primavera
336,2018-12-03,870.136,Primavera
337,2018-12-04,800.626,Primavera
338,2018-12-05,762.854,Primavera
339,2018-12-06,839.622,Primavera
340,2018-12-07,876.04,Primavera
341,2018-12-08,899.223,Primavera
342,2018-12-09,849.586,Primavera
343,2018-12-10,890.913,Primavera
344,2018-12-11,830.403,Primavera
345,2018-12-12,853.114,Primavera
346,2018-12-13,840.875,Primavera
347,2018-12-14,789.6519999999999,Primavera
348,2018-12-15,721.713,Primavera
349,2018-12-16,855.318,Primavera
350,2018-12-17,866.39,Primavera
351,2018-12-18,520.979,Primavera
352,2018-12-19,617.399,Primavera
353,2018-12-20,931.032,Primavera
354,2018-12-21,624.801,Verão
355,2018-12-22,606.528,Verão
356,2018-12-23,513.246,Verão
357,2018-12-24,525.34,Verão
358,2018-12-25,478.353,Verão
359,2018-12-26,515.231,Verão
